id_exercice,name_exercice
0,90/90
1,Split squat
2,Cossak squat
3,Deep squat into harmstring stretch
4,Thoracic twist
5,Cat cow
6,Child pose into seal pose
7,Kickbacks
8,Leg raises
9,V-sit
10,Russian twist
11,Bicycle crunch
12,Bench press
13,Dumbbell shoulder
14,Dumbbell incline chest
15,Dumbbell side lateral
16,Dumbbell skull crusher
17,Standing overhead dumbbell
18,Pompe chest
19,Bent over row 
20,Dumbbell pullover
21,Barbell overhead press
22,Dips
23,Dumbbell overhead dumbbell
24,Bent over row
25,Dumbbell pullover
26,Standing Barbell
27,Dumbbell row unilateral
28,Barbell curl
29,Dumbbell hammer curl
30,Rowing Barbell
31,Tirage elastique
32,Pull over barbell
33,Elastique curl
34,Face pull
35,Squat
36,Romanian dead lift
38,Seated leg curl
39,Calf raises